time,source,dest,protocol,size,description,website
1.203300728,172.28.0.2,192.168.65.7,DNS,76,Standard query 0x18aa A www.facebook.com,facebook
1.245121573,192.168.65.7,172.28.0.2,DNS,176,Standard query response 0x18aa A www.facebook.com CNAME star-mini.c10r.facebook.com A 157.240.229.35,facebook
1.245816080,172.28.0.2,157.240.229.35,TCP,74,47864 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1154248312 TSecr=0 WS=128,facebook
1.247999342,157.240.229.35,172.28.0.2,TCP,74,"443 → 47864 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=3948657346 TSecr=1154248312 WS=32",facebook
1.248058794,172.28.0.2,157.240.229.35,TCP,66,47864 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1154248314 TSecr=3948657346,facebook
1.249135151,172.28.0.2,157.240.229.35,TLSv1,730,Client Hello,facebook
1.250320403,157.240.229.35,172.28.0.2,TCP,66,443 → 47864 [ACK] Seq=1 Ack=665 Win=523616 Len=0 TSval=3948657348 TSecr=1154248315,facebook
1.290521837,157.240.229.35,172.28.0.2,TLSv1.3,1514,"Server Hello, Change Cipher Spec, Application Data",facebook
1.290575538,172.28.0.2,157.240.229.35,TCP,66,47864 → 443 [ACK] Seq=665 Ack=1449 Win=64128 Len=0 TSval=1154248357 TSecr=3948657388,facebook
1.290639067,157.240.229.35,172.28.0.2,TLSv1.3,1402,Application Data [TCP segment of a reassembled PDU],facebook
1.290646421,172.28.0.2,157.240.229.35,TCP,66,47864 → 443 [ACK] Seq=665 Ack=2785 Win=63232 Len=0 TSval=1154248357 TSecr=3948657388,facebook
1.290661459,157.240.229.35,172.28.0.2,TLSv1.3,604,Application Data,facebook
1.290665737,172.28.0.2,157.240.229.35,TCP,66,47864 → 443 [ACK] Seq=665 Ack=3323 Win=62720 Len=0 TSval=1154248357 TSecr=3948657388,facebook
1.294943155,172.28.0.2,192.168.65.7,DNS,77,Standard query 0x06d6 A ocsp.digicert.com,facebook
1.295479490,172.28.0.2,192.168.65.7,DNS,77,Standard query 0xd849 A ocsp.digicert.com,facebook
1.297880175,192.168.65.7,172.28.0.2,DNS,327,Standard query response 0xd849 A ocsp.digicert.com CNAME ocsp.edge.digicert.com CNAME fp2e7a.wpc.2be4.phicdn.net CNAME fp2e7a.wpc.phicdn.net A 192.229.211.108 A 192.229.211.108,facebook
1.298164913,192.168.65.7,172.28.0.2,DNS,327,Standard query response 0x06d6 A ocsp.digicert.com CNAME ocsp.edge.digicert.com CNAME fp2e7a.wpc.2be4.phicdn.net CNAME fp2e7a.wpc.phicdn.net A 192.229.211.108 A 192.229.211.108,facebook
1.298595691,172.28.0.2,192.229.211.108,TCP,74,54774 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2055951834 TSecr=0 WS=128,facebook
1.301577851,192.229.211.108,172.28.0.2,TCP,74,"80 → 54774 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=139559517 TSecr=2055951834 WS=32",facebook
1.301643564,172.28.0.2,192.229.211.108,TCP,66,54774 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2055951837 TSecr=139559517,facebook
1.301911529,172.28.0.2,192.229.211.108,OCSP,482,Request,facebook
1.303136452,192.229.211.108,172.28.0.2,TCP,66,80 → 54774 [ACK] Seq=1 Ack=417 Win=28768 Len=0 TSval=139559518 TSecr=2055951837,facebook
1.335030084,192.229.211.108,172.28.0.2,OCSP,822,Response,facebook
1.335111567,172.28.0.2,192.229.211.108,TCP,66,54774 → 80 [ACK] Seq=417 Ack=757 Win=64128 Len=0 TSval=2055951870 TSecr=139559550,facebook
1.335210903,192.229.211.108,172.28.0.2,TCP,66,"80 → 54774 [FIN, ACK] Seq=757 Ack=417 Win=524288 Len=0 TSval=139559550 TSecr=2055951837",facebook
1.335422881,172.28.0.2,192.229.211.108,TCP,66,"54774 → 80 [FIN, ACK] Seq=417 Ack=758 Win=64128 Len=0 TSval=2055951871 TSecr=139559550",facebook
1.336225114,172.28.0.2,157.240.229.35,TLSv1.3,130,"Change Cipher Spec, Application Data",facebook
1.336626767,172.28.0.2,157.240.229.35,TLSv1.3,236,Application Data,facebook
1.337149321,192.229.211.108,172.28.0.2,TCP,66,80 → 54774 [ACK] Seq=758 Ack=418 Win=524256 Len=0 TSval=139559552 TSecr=2055951870,facebook
1.337681795,157.240.229.35,172.28.0.2,TCP,66,443 → 47864 [ACK] Seq=3323 Ack=729 Win=524224 Len=0 TSval=3948657436 TSecr=1154248403,facebook
1.337720678,157.240.229.35,172.28.0.2,TCP,66,443 → 47864 [ACK] Seq=3323 Ack=899 Win=524032 Len=0 TSval=3948657436 TSecr=1154248403,facebook
1.352849896,157.240.229.35,172.28.0.2,TLSv1.3,237,Application Data,facebook
1.352914257,172.28.0.2,157.240.229.35,TCP,66,47864 → 443 [ACK] Seq=899 Ack=3494 Win=64128 Len=0 TSval=1154248419 TSecr=3948657451,facebook
1.352976994,157.240.229.35,172.28.0.2,TLSv1.3,171,"Application Data, Application Data",facebook
1.352981543,172.28.0.2,157.240.229.35,TCP,66,47864 → 443 [ACK] Seq=899 Ack=3599 Win=64128 Len=0 TSval=1154248419 TSecr=3948657451,facebook
1.353220871,172.28.0.2,157.240.229.35,TLSv1.3,97,Application Data,facebook
1.354371934,157.240.229.35,172.28.0.2,TCP,66,443 → 47864 [ACK] Seq=3599 Ack=930 Win=524256 Len=0 TSval=3948657452 TSecr=1154248420,facebook
1.907886568,172.28.0.2,157.240.229.35,TLSv1.3,534,Application Data,facebook
1.909066269,172.28.0.2,157.240.229.35,QUIC,1399,"Initial, DCID=e13a9ba95c475971, SCID=b49427, PKN: 0, CRYPTO",facebook
1.909466329,157.240.229.35,172.28.0.2,TCP,66,443 → 47864 [ACK] Seq=3599 Ack=1398 Win=523776 Len=0 TSval=3948658007 TSecr=1154248974,facebook
1.915735750,172.28.0.2,192.168.65.7,DNS,72,Standard query 0x0a24 A facebook.com,facebook
1.915735800,172.28.0.2,192.168.65.7,DNS,79,Standard query 0x1c7a A static.xx.fbcdn.net,facebook
1.926015459,157.240.229.35,172.28.0.2,TLSv1.3,101,Application Data,facebook
1.926064741,172.28.0.2,157.240.229.35,TCP,66,47864 → 443 [ACK] Seq=1398 Ack=3634 Win=64128 Len=0 TSval=1154248992 TSecr=3948658024,facebook
1.931515889,157.240.229.35,172.28.0.2,QUIC,1274,"Initial, DCID=b49427, SCID=b52101021363b511, PKN: 1070385, CRYPTO, ACK, PADDING",facebook
1.931570862,157.240.229.35,172.28.0.2,QUIC,1274,"Handshake, DCID=b49427, SCID=b52101021363b511",facebook
1.931578436,157.240.229.35,172.28.0.2,QUIC,1274,"Handshake, DCID=b49427, SCID=b52101021363b511",facebook
1.931584668,157.240.229.35,172.28.0.2,QUIC,948,"Handshake, DCID=b49427, SCID=b52101021363b511",facebook
1.931590970,157.240.229.35,172.28.0.2,QUIC,122,"Protected Payload (KP0), DCID=b49427",facebook
1.933154140,172.28.0.2,157.240.229.35,QUIC,88,"Handshake, DCID=b52101021363b511, SCID=b49427",facebook
1.936312841,172.28.0.2,192.168.65.7,DNS,77,Standard query 0x1247 A ocsp.digicert.com,facebook
1.937009035,172.28.0.2,192.168.65.7,DNS,77,Standard query 0x2a43 A ocsp.digicert.com,facebook
1.938822675,192.168.65.7,172.28.0.2,DNS,327,Standard query response 0x2a43 A ocsp.digicert.com CNAME ocsp.edge.digicert.com CNAME fp2e7a.wpc.2be4.phicdn.net CNAME fp2e7a.wpc.phicdn.net A 192.229.211.108 A 192.229.211.108,facebook
1.939052195,192.168.65.7,172.28.0.2,DNS,327,Standard query response 0x1247 A ocsp.digicert.com CNAME ocsp.edge.digicert.com CNAME fp2e7a.wpc.2be4.phicdn.net CNAME fp2e7a.wpc.phicdn.net A 192.229.211.108 A 192.229.211.108,facebook
1.939383286,172.28.0.2,192.229.211.108,TCP,74,54776 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2055952475 TSecr=0 WS=128,facebook
1.941834300,192.229.211.108,172.28.0.2,TCP,74,"80 → 54776 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=139560157 TSecr=2055952475 WS=32",facebook
1.941908820,172.28.0.2,192.229.211.108,TCP,66,54776 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2055952477 TSecr=139560157,facebook
1.942156659,172.28.0.2,192.229.211.108,OCSP,482,Request,facebook
1.943180223,192.229.211.108,172.28.0.2,TCP,66,80 → 54776 [ACK] Seq=1 Ack=417 Win=28768 Len=0 TSval=139560159 TSecr=2055952477,facebook
1.953309079,192.168.65.7,172.28.0.2,DNS,100,Standard query response 0x0a24 A facebook.com A 31.13.66.35,facebook
1.982181498,192.168.65.7,172.28.0.2,DNS,170,Standard query response 0x1c7a A static.xx.fbcdn.net CNAME scontent.xx.fbcdn.net A 31.13.66.19,facebook
1.983054096,192.229.211.108,172.28.0.2,OCSP,822,Response,facebook
1.983111483,172.28.0.2,192.229.211.108,TCP,66,54776 → 80 [ACK] Seq=417 Ack=757 Win=64128 Len=0 TSval=2055952518 TSecr=139560198,facebook
1.983180493,192.229.211.108,172.28.0.2,TCP,66,"80 → 54776 [FIN, ACK] Seq=757 Ack=417 Win=524288 Len=0 TSval=139560198 TSecr=2055952477",facebook
1.983380209,172.28.0.2,192.229.211.108,TCP,66,"54776 → 80 [FIN, ACK] Seq=417 Ack=758 Win=64128 Len=0 TSval=2055952519 TSecr=139560198",facebook
