time,source,dest,protocol,size,description,website
2.801505943,172.28.0.2,192.168.65.7,DNS,70,Standard query 0x367b A github.com,github
2.843047590,192.168.65.7,172.28.0.2,DNS,96,Standard query response 0x367b A github.com A 140.82.114.4,github
2.844527123,172.28.0.2,140.82.114.4,TCP,74,55428 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3711824825 TSecr=0 WS=128,github
2.844607293,172.28.0.2,140.82.114.4,TCP,74,55430 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3711824825 TSecr=0 WS=128,github
2.846799645,140.82.114.4,172.28.0.2,TCP,74,"80 → 55430 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=933326097 TSecr=3711824825 WS=32",github
2.846984011,172.28.0.2,140.82.114.4,TCP,66,55430 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3711824827 TSecr=933326097,github
2.848249140,140.82.114.4,172.28.0.2,TCP,74,"80 → 55428 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=933326097 TSecr=3711824825 WS=32",github
2.848297871,172.28.0.2,140.82.114.4,TCP,66,55428 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3711824829 TSecr=933326097,github
2.848608338,172.28.0.2,140.82.114.4,HTTP,400,GET / HTTP/1.1,github
2.850411372,140.82.114.4,172.28.0.2,TCP,66,80 → 55430 [ACK] Seq=1 Ack=335 Win=28832 Len=0 TSval=933326100 TSecr=3711824829,github
2.923037224,140.82.114.4,172.28.0.2,HTTP,169,HTTP/1.1 301 Moved Permanently,github
2.923079874,172.28.0.2,140.82.114.4,TCP,66,55430 → 80 [ACK] Seq=335 Ack=104 Win=64256 Len=0 TSval=3711824903 TSecr=933326173,github
2.923127012,140.82.114.4,172.28.0.2,TCP,66,"80 → 55430 [FIN, ACK] Seq=104 Ack=335 Win=524288 Len=0 TSval=933326173 TSecr=3711824829",github
2.923286235,172.28.0.2,140.82.114.4,TCP,66,"55430 → 80 [FIN, ACK] Seq=335 Ack=105 Win=64256 Len=0 TSval=3711824904 TSecr=933326173",github
2.924072805,140.82.114.4,172.28.0.2,TCP,66,80 → 55430 [ACK] Seq=105 Ack=336 Win=524256 Len=0 TSval=933326174 TSecr=3711824903,github
2.925404040,172.28.0.2,192.168.65.7,DNS,70,Standard query 0x2b8c A github.com,github
