time,source,dest,protocol,size,description,website
0.000000000,172.28.0.2,35.186.194.58,UDP,1394,56119 → 443 Len=1352,weather.com
0.019837844,35.186.194.58,172.28.0.2,UDP,73,443 → 56119 Len=31,weather.com
0.020122868,172.28.0.2,35.186.194.58,UDP,75,56119 → 443 Len=33,weather.com
0.069113798,35.186.194.58,172.28.0.2,UDP,106,443 → 56119 Len=64,weather.com
0.069425602,172.28.0.2,35.186.194.58,UDP,80,56119 → 443 Len=38,weather.com
0.089556286,35.186.194.58,172.28.0.2,UDP,70,443 → 56119 Len=28,weather.com
0.900800863,140.82.114.4,172.28.0.2,TLSv1.2,105,Application Data,weather.com
0.900850797,172.28.0.2,140.82.114.4,TCP,66,45214 → 443 [ACK] Seq=1 Ack=40 Win=2117 Len=0 TSval=3711869251 TSecr=933370520,weather.com
0.900898416,140.82.114.4,172.28.0.2,TLSv1.2,90,Application Data,weather.com
0.900902794,172.28.0.2,140.82.114.4,TCP,66,45214 → 443 [ACK] Seq=1 Ack=64 Win=2117 Len=0 TSval=3711869251 TSecr=933370521,weather.com
0.900995243,172.28.0.2,140.82.114.4,TLSv1.2,105,Application Data,weather.com
0.901254880,172.28.0.2,140.82.114.4,TLSv1.2,90,Application Data,weather.com
0.901300495,172.28.0.2,140.82.114.4,TCP,66,"45214 → 443 [FIN, ACK] Seq=64 Ack=64 Win=2117 Len=0 TSval=3711869251 TSecr=933370521",weather.com
0.901942058,140.82.114.4,172.28.0.2,TCP,66,"443 → 45214 [FIN, ACK] Seq=64 Ack=1 Win=16384 Len=0 TSval=933370522 TSecr=3711839257",weather.com
0.901964750,172.28.0.2,140.82.114.4,TCP,66,45214 → 443 [ACK] Seq=65 Ack=65 Win=2117 Len=0 TSval=3711869252 TSecr=933370522,weather.com
0.902237982,140.82.114.4,172.28.0.2,TCP,66,"443 → 45214 [RST, ACK] Seq=65 Ack=1 Win=0 Len=0 TSval=933370522 TSecr=3711869251",weather.com
0.902831675,140.82.114.4,172.28.0.2,TCP,54,443 → 45214 [RST] Seq=65 Win=0 Len=0,weather.com
2.258058579,172.28.0.2,157.240.229.35,TCP,74,48010 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1154306030 TSecr=0 WS=128,weather.com
